"canonical_class"	"severity_level"	"assessment_template"	"assessment_unit"	"treatment_pair_id"	"knowledge_document"	"current_treatment_heading"	"current_treatment_source_ids"	"current_alignment"	"alignment_reason"	"evidence_ids"	"research_status"	"proposed_action"	"mismatch_type"	"implementation_readiness"	"unresolved_blocker"	"notes"
"叶蝉科"	"重度"	"仅评估当前选择的 一片叶或一段嫩梢；不合并其他器官、其他植株或田间情况。"	"一片叶或一段嫩梢"	"叶蝉科-重度"	"knowledge\baidu-baike-20260818\documents\12.md"	"### 重度"	"02-T1; 02-T3"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-12"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"family-level class and unspecified crop cannot support tea/crop-specific action mapping"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蝗总科"	"轻度"	"仅评估当前选择的 一片叶或一株可见冠层；不合并其他器官、其他植株或田间情况。"	"一片叶或一株可见冠层"	"蝗总科-轻度"	"knowledge\baidu-baike-20260818\documents\13.md"	"### 轻度"	"12-T1"	"READY_KEEP"	"当前条目以局部清理、监测、物理/农业措施或低风险选择为主；与用户确认的当前样本轻度观察相容，但仅作为可选一般指导，不自动触发。"	"E-13"	"confirmed_2026-09-01"	"preserve frozen wording; future UI labels it general guidance and requires current label/registration checks"	"none"	"READY"	"none"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蝗总科"	"中度"	"仅评估当前选择的 一片叶或一株可见冠层；不合并其他器官、其他植株或田间情况。"	"一片叶或一株可见冠层"	"蝗总科-中度"	"knowledge\baidu-baike-20260818\documents\13.md"	"### 中度"	"12-T1"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-13"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蝗总科"	"重度"	"仅评估当前选择的 一片叶或一株可见冠层；不合并其他器官、其他植株或田间情况。"	"一片叶或一株可见冠层"	"蝗总科-重度"	"knowledge\baidu-baike-20260818\documents\13.md"	"### 重度"	"12-T1"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-13"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蛴螬"	"轻度"	"仅评估当前选择的 一株植株及可见根系或茎基；不合并其他器官、其他植株或田间情况。"	"一株植株及可见根系或茎基"	"蛴螬-轻度"	"knowledge\baidu-baike-20260818\documents\14.md"	"### 轻度"	"11-T1; 11-T2"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-14"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"root/larva confirmation plus crop, life stage and field sampling context are required"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蛴螬"	"中度"	"仅评估当前选择的 一株植株及可见根系或茎基；不合并其他器官、其他植株或田间情况。"	"一株植株及可见根系或茎基"	"蛴螬-中度"	"knowledge\baidu-baike-20260818\documents\14.md"	"### 中度"	"11-T1; 11-T2"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-14"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"root/larva confirmation plus crop, life stage and field sampling context are required"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蛴螬"	"重度"	"仅评估当前选择的 一株植株及可见根系或茎基；不合并其他器官、其他植株或田间情况。"	"一株植株及可见根系或茎基"	"蛴螬-重度"	"knowledge\baidu-baike-20260818\documents\14.md"	"### 重度"	"11-T1"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-14"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"root/larva confirmation plus crop, life stage and field sampling context are required"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"豆芫菁"	"轻度"	"仅评估当前选择的 一片叶、一个花序或一株可见冠层；不合并其他器官、其他植株或田间情况。"	"一片叶、一个花序或一株可见冠层"	"豆芫菁-轻度"	"knowledge\baidu-baike-20260818\documents\15.md"	"### 轻度"	"14-T1; 14-T2"	"READY_KEEP"	"当前条目以局部清理、监测、物理/农业措施或低风险选择为主；与用户确认的当前样本轻度观察相容，但仅作为可选一般指导，不自动触发。"	"E-15"	"confirmed_2026-09-01"	"preserve frozen wording; future UI labels it general guidance and requires current label/registration checks"	"none"	"READY"	"none"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"豆芫菁"	"中度"	"仅评估当前选择的 一片叶、一个花序或一株可见冠层；不合并其他器官、其他植株或田间情况。"	"一片叶、一个花序或一株可见冠层"	"豆芫菁-中度"	"knowledge\baidu-baike-20260818\documents\15.md"	"### 中度"	"14-T1"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-15"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"豆芫菁"	"重度"	"仅评估当前选择的 一片叶、一个花序或一株可见冠层；不合并其他器官、其他植株或田间情况。"	"一片叶、一个花序或一株可见冠层"	"豆芫菁-重度"	"knowledge\baidu-baike-20260818\documents\15.md"	"### 重度"	"14-T1; 14-T2"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-15"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
